city,year,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
North Reading,2010,155,38,19731471.0,421164.0,,91275022,538727.0,24,12360871.0,379207.0,14,6088021.0,343793.0,6272850.0,483082.0,131,78914151.0,567081.0,24,13643450.0,489107.0,65270701.0,579840.0,69.14563034859388,30.85436965140612,36.84210526315789,63.1578947368421,15.483870967741936,84.51612903225806,17.288977739873296,49.25236255600435,58.333333333333336,18.3206106870229
North Reading,2011,167,52,17352605.0,313814.0,,87864867,491095.0,29,10926764.0,320886.0,21,6455287.0,304702.0,4471477.0,394131.5,138,76938103.0,511673.5,31,10897318.0,403200.0,66040785.0,551087.0,62.7993203325956,37.2006796674044,40.38461538461539,59.61538461538461,17.365269461077844,82.63473053892216,14.16374666788964,59.077756232311785,72.41379310344827,22.463768115942027
North Reading,2012,204,42,12319069.0,254049.0,,107848880,485439.0,26,8800407.0,302031.0,13,3491216.0,292499.0,5309191.0,311725.0,178,99048473.0,506381.0,29,8827853.0,254049.0,90220620.0,535562.0,71.6600661949373,28.339933805062707,30.952380952380953,69.04761904761905,12.745098039215685,87.25490196078431,8.912659360230622,39.67107430372254,50.0,16.292134831460675
North Reading,2013,247,62,26825990.0,353784.0,,139063441,506161.0,42,17632049.0,376005.5,19,6517133.0,323943.0,11114916.0,438673.0,205,121431392.0,530457.0,43,20308857.0,384682.0,101122535.0,554752.5,75.70589939085193,24.29410060914807,30.64516129032258,69.35483870967742,17.00404858299595,82.99595141700405,16.724552576981083,36.9618584884831,45.23809523809524,20.975609756097562
North Reading,2014,236,45,19884289.0,346606.0,,135243620,523113.5,31,13319418.0,408080.0,15,6185477.0,321755.0,7133941.0,425083.0,205,121924202.0,546722.0,30,13698812.0,362955.5,108225390.0,565688.0,68.89264182390428,31.107358176095712,33.33333333333333,66.66666666666666,13.135593220338984,86.86440677966102,11.235514996440166,46.43954413023151,48.38709677419355,14.634146341463413
North Reading,2015,259,62,23826400.0,375779.0,,147378984,530662.0,41,17828700.0,383611.0,21,7641270.0,364431.0,10187430.0,470563.0,218,129550284.0,551121.5,41,16185130.0,415579.0,113365154.0,604699.0,67.92939764295068,32.070602357049324,33.87096774193548,66.12903225806451,15.83011583011583,84.16988416988417,12.493318810478254,42.8593784179441,51.21951219512195,18.807339449541285
North Reading,2016,298,66,27981329.0,367834.5,,175301985,545516.5,53,24792081.0,355365.0,29,9993055.0,297385.0,14799026.0,412098.5,245,150509904.0,587288.0,37,17988274.0,417710.0,132521630.0,606302.5,64.28670346572888,35.71329653427112,43.93939393939394,56.060606060606055,17.78523489932886,82.21476510067114,11.951555028564764,40.307447365955284,54.71698113207547,15.10204081632653
North Reading,2017,291,47,28588990.0,558022.0,,183922392,604339.0,42,26096485.0,504623.0,17,10268527.0,483471.0,15827958.0,539563.0,249,157825907.0,613404.0,30,18320463.0,600712.5,139505444.0,613404.0,64.08223235588245,35.917767644117546,36.17021276595745,63.829787234042556,14.432989690721648,85.56701030927834,11.608020095205282,39.34831453354734,40.476190476190474,12.048192771084338
North Reading,2018,280,59,21542958.0,288654.0,,150573858,531990.0,41,16525564.0,381024.0,19,6562953.0,288654.0,9962611.0,415662.0,239,134048294.0,574306.0,40,14980005.0,282881.0,119068289.0,594628.0,69.53550668390108,30.464493316098935,32.20338983050847,67.79661016949152,14.642857142857144,85.35714285714285,11.175080676520956,39.713942592216526,46.34146341463415,16.736401673640167
North Reading,2019,258,62,23405774.0,309595.5,,144867290,567778.5,29,13175779.0,358715.0,15,6056971.0,331200.0,7118808.0,498838.0,229,131691511.0,572823.0,47,17348803.0,283609.0,114342708.0,588516.0,74.12189402495298,25.87810597504701,24.193548387096776,75.80645161290323,11.24031007751938,88.75968992248062,13.17382029279017,45.970496317523235,51.724137931034484,20.52401746724891
