city,year,proptype,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
Acton,2016,LND,4,2,2770601.0,1385300.5,,4521242,875320.5,2,2770601.0,1385300.5,2,2770601.0,1385300.5,0.0,,2,1750641.0,875320.5,0,0.0,,1750641.0,875320.5,0.0,100.0,100.0,0.0,50.0,50.0,0.0,100.0,100.0,0.0
Acton,2016,R1F,231,32,20680752.0,602562.0,,173306113,730681.0,30,21080401.0,712102.0,11,6018024.0,418957.0,15062377.0,735668.0,201,152225712.0,731928.0,21,14662728.0,698261.0,137562984.0,733423.5,70.90036184370858,29.099638156291412,34.375,65.625,12.987012987012985,87.01298701298701,9.63222822698967,28.547957887518365,36.666666666666664,10.44776119402985
Acton,2016,R2F,6,0,0.0,,,3718243,576689.0,0,0.0,,0,0.0,,0.0,,6,3718243.0,576689.0,0,0.0,,3718243.0,576689.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2016,RCD,176,78,22887327.0,196074.5,,64093120,243145.0,25,5693903.0,175189.0,19,3308218.0,165214.0,2385685.0,252371.5,151,58399217.0,284292.0,59,19579109.0,211972.0,38820108.0,317334.5,85.54563405329071,14.454365946709286,24.358974358974358,75.64102564102564,14.204545454545455,85.79545454545455,33.526321080640514,58.1010600285955,76.0,39.0728476821192
Acton,2017,LND,6,5,2387138.0,423037.0,,3360728,513688.0,1,296126.0,296126.0,1,296126.0,296126.0,0.0,,5,3064602.0,604339.0,4,2091012.0,513688.0,973590.0,973590.0,87.59493586043203,12.405064139567969,20.0,80.0,16.666666666666664,83.33333333333334,68.23111125033527,100.0,100.0,80.0
Acton,2017,R1F,258,26,18600758.0,618541.0,,190930552,701637.5,33,24281755.0,737293.0,12,9020992.0,570257.0,15260763.0,779597.0,225,166648797.0,701033.0,14,9579766.0,648758.0,157069031.0,707076.0,51.50201943383168,48.49798056616832,46.15384615384615,53.84615384615385,12.790697674418606,87.20930232558139,5.7484759400933445,37.15131793397965,36.36363636363637,6.222222222222222
Acton,2017,R2F,3,1,549948.0,549948.0,,1879493,614008.0,1,549948.0,549948.0,1,549948.0,549948.0,0.0,,2,1329545.0,664772.5,0,0.0,,1329545.0,664772.5,0.0,100.0,100.0,0.0,33.33333333333333,66.66666666666666,0.0,100.0,100.0,0.0
Acton,2017,RCD,146,48,12457540.0,192784.0,,56073186,287061.0,24,4914067.0,174533.0,19,3189283.0,157128.0,1724784.0,263492.0,122,51159119.0,316069.0,29,9268257.0,232670.0,41890862.0,386777.0,74.39877375468993,25.601226245310073,39.58333333333333,60.416666666666664,16.43835616438356,83.56164383561644,18.11652972366471,64.9010890571903,79.16666666666666,23.770491803278688
Acton,2018,LND,3,0,0.0,,,2389826,913071.0,1,519578.0,519578.0,0,0.0,,519578.0,519578.0,2,1870248.0,935124.0,0,0.0,,1870248.0,935124.0,,,,,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0
Acton,2018,R1F,212,30,18639081.0,509763.5,,157937016,729711.0,26,16294009.0,506588.0,13,7614236.0,432981.0,8679773.0,666214.0,186,141643007.0,741841.0,17,11024845.0,611947.0,130618162.0,744728.0,59.149080365067356,40.850919634932644,43.333333333333336,56.666666666666664,12.264150943396226,87.73584905660378,7.783543454425533,46.73027982247954,50.0,9.13978494623656
